Year,Year2021Num,TherOrGeneral,PaperLanguage,LanguageOfCORE,OpenAccess,Empirical,AssessmentStructure,DataAvailable,EmbeddedInTherapy,WhichCOREInstruments,FormatOfMeasure,OtherMeasureNames,Countries,AgeGroups,GenderCategories,Author,DOI,URL,ref,shinyID,TitleExcel,OtherMeasureNamesLwr,inclYP,inclOP,cite,Foci
1998,1998,Treatment,English,NA,N,Non-empirical,Not applicable,NA,NA,NA,NA,"Beck Depression Inventory (BDI),Hospital Anxiety and Depression Scale (HADS),Inventory for Interpersonal Problems-32 (IIP-32),Symptom Checklist-90-Revised (SCL-90-R),Brief Symptom Inventory (BSI)",NA,NA,Not applicable,"barkham, michael; evans, chris; margison, frank; mcgrath, graeme; mellor-clark, john, j; milne, derek; connell, janice",10.1080/09638239818328,,"Barkham, Michael, Evans, Chris ... Connell, Janice (1998) The rationale for developing and implementing core outcome batteries for routine use in service settings and psychotherapy outcome research. Journal of Mental Health 7:7(1):35-47",1998_001,the rationale for developing and implementing core outcome batteries for routine use in service settings and psychotherapy outcome research,"beck depression inventory (bdi),hospital anxiety and depression scale (hads),inventory for interpersonal problems-32 (iip-32),symptom checklist-90-revised (scl-90-r),brief symptom inventory (bsi)",NA,NA,"Barkham, Michael, Evans, Chris ... Connell, Janice (1998)",
1999,1999,Treatment,English,NA,N,Non-empirical,Not applicable,NA,NA,NA,NA,"Millon Clinical Multi-Axial Inventory-III (MCMI-III),Brief Symptom Inventory (BSI),Inventory of Interpersonal Problems-Circumplex version (IIP-C),Community Adjustment Questionnaire (CAQ)",NA,NA,Not applicable,"chiesa, marco; fonagy, peter",10.1080/02668739900700221,<a href='http://www.tandfonline.com/doi/abs/10.1080/02668739900700221' target='_blank' >http://www.tandfonline.com/doi/abs/10.1080/02668739900700221</a>,"Chiesa, Marco & Fonagy, Peter (1999) From the efficacy to the effectiveness model in psychotherapy research: The app multi-centre project. Psychoanalytic Psychotherapy 13:13(3):259-272",1999_001,from the efficacy to the effectiveness model in psychotherapy research: the app multi-centre project,"millon clinical multi-axial inventory-iii (mcmi-iii),brief symptom inventory (bsi),inventory of interpersonal problems-circumplex version (iip-c),community adjustment questionnaire (caq)",NA,NA,"Chiesa, Marco & Fonagy, Peter (1999)",
1999,1999,Treatment,English,English,N,Empirical,Only once,N,N,CORE-OM;,Unknown;,NA,UK,NA,Men;Women,"mellor-clark, john; barkham, michael; connell, janice; evans, chris",10.1080/13642539908400818,<a href='http://www.tandfonline.com/doi/abs/10.1080/13642539908400818' target='_blank' >http://www.tandfonline.com/doi/abs/10.1080/13642539908400818</a>,"Mellor-Clark, John, Barkham, Michael ... Evans, Chris (1999) Practice-based evidence and standardized evaluation: Informing the design of the CORE system. European Journal of Psychotherapy & Counselling 2:2(3):357-374",1999_002,practice-based evidence and standardized evaluation: informing the design of the core system,NA,NA,NA,"Mellor-Clark, John, Barkham, Michael ... Evans, Chris (1999)",
2000,2000,Treatment,English,NA,N,Non-empirical,Not applicable,NA,NA,NA,NA,NA,NA,NA,Not applicable,"evans, chris; mellor-clark, john; margison, frank; barkham, michael; audin, kerry; connell, janice; mcgrath, graeme",10.1080/jmh.9.3.247.255,,"Evans, Chris, Mellor-Clark, John ... McGrath, Graeme (2000) CORE: Clinical Outcomes in Routine Evaluation. Journal of Mental Health 9:9(3):247-255",2000_001,core: clinical outcomes in routine evaluation,NA,NA,NA,"Evans, Chris, Mellor-Clark, John ... McGrath, Graeme (2000)",
2000,2000,Treatment,English,NA,Y,Non-empirical,Not applicable,NA,NA,NA,NA,NA,NA,NA,Not applicable,"margison, frank r.; barkham, michael; evans, chris; mcgrath, graeme; clark, john mellor; audin, kerry; connell, janice",10.1192/bjp.177.2.123,<a href='https://www.cambridge.org/core/product/identifier/S0007125000155345/type/journal_article' target='_blank' >https://www.cambridge.org/core/product/identifier/S0007125000155345/type/journal_article</a>,"Margison, Frank R., Barkham, Michael ... Connell, Janice (2000) Measurement and psychotherapy: Evidence-based practice and practice-based evidence. British Journal of Psychiatry 177:177(2):123-130",2000_002,measurement and psychotherapy: evidence-based practice and practice-based evidence,NA,NA,NA,"Margison, Frank R., Barkham, Michael ... Connell, Janice (2000)",
2001,2001,Treatment,English,NA,Y,Empirical but did not use CORE,Not applicable,NA,NA,NA,NA,Health of Nation Outcome Scales (HoNOS),NA,NA,Not applicable,"audin, kerry; margison, frank r.; clark, john mellor; barkham, michael",10.1192/bjp.178.6.561,<a href='https://www.cambridge.org/core/product/identifier/S0007125000156880/type/journal_article' target='_blank' >https://www.cambridge.org/core/product/identifier/S0007125000156880/type/journal_article</a>,"Audin, Kerry, Margison, Frank R. ... Barkham, Michael (2001) Value of HoNOS in assessing patient change in NHS psychotherapy and psychological treatment services. British Journal of Psychiatry 178:178(6):561-566",2001_001,value of honos in assessing patient change in nhs psychotherapy and psychological treatment services,health of nation outcome scales (honos),NA,NA,"Audin, Kerry, Margison, Frank R. ... Barkham, Michael (2001)",
2001,2001,General population,English,NA,N,Empirical,Multiple completions for other than therapy purposes,N,N,CORE-OM;,Unknown;,"Beck Depression Inventory (BDI),Beck Anxiety Inventory (BAI),Brief Symptom Inventory (BSI),Inventory for Interpersonal Problems-32 (IIP-32)",UK,NA,Men;Women,"barkham, michael; margison, frank; leach, chris; lucock, mike; mellor-clark, john; evans, chris; benson, liz; connell, janice; audin, kerry; mcgrath, graeme",10.1037/0022-006X.69.2.184,<a href='http://doi.apa.org/getdoi.cfm?doi=10.1037/0022-006X.69.2.184' target='_blank' >http://doi.apa.org/getdoi.cfm?doi=10.1037/0022-006X.69.2.184</a>,"Barkham, Michael, Margison, Frank ... McGrath, Graeme (2001) How much therapy is enough. Journal of Consulting and Clinical Psychology 69:69(2):184-196",2001_002,service profiling and outcomes benchmarking using the core-om: toward practice-based evidence in the psychological therapies,"beck depression inventory (bdi),beck anxiety inventory (bai),brief symptom inventory (bsi),inventory for interpersonal problems-32 (iip-32)",NA,NA,"Barkham, Michael, Margison, Frank ... McGrath, Graeme (2001)",
2001,2001,Treatment,English,NA,N,Empirical but did not use CORE,Not applicable,NA,NA,NA,NA,"Stuttgart-Heidelberg System (S-H System),Outcome Questionnaire-45 (OQ-45),Composite Autonomic Symptom Score (COMPASS),Systematic Treatment Selection measure (STS)",NA,NA,Not applicable,"beutler, l. e.",10.1037/0022-006X.69.2.197,,"Beutler, L. E. (2001) Comparisons among quality assurance systems: From outcome assessment to clinical utility. Journal of Consulting and Clinical Psychology 69:69(2):197-204",2001_003,comparisons among quality assurance systems: from outcome assessment to clinical utility,"stuttgart-heidelberg system (s-h system),outcome questionnaire-45 (oq-45),composite autonomic symptom score (compass),systematic treatment selection measure (sts)",NA,NA,"Beutler, L. E. (2001)",
2001,2001,Treatment,English,NA,N,Non-empirical,Not applicable,NA,NA,NA,NA,Outcome Questionnaire-45 (OQ-45),NA,NA,Not applicable,"lambert, michael j; whipple, jason l; smart, david w; vermeersch, david a; nielsen, stevan lars; hawkins, eric j",10.1080/713663852,,"Lambert, Michael J, Whipple, Jason L ... Hawkins, Eric J (2001) The effects of providing therapists with feedback on patient progress during psychotherapy: Are outcomes enhanced?. Psychotherapy Research 11:11(1):49-68",2001_004,the effects of providing therapists with feedback on patient progress during psychotherapy: are outcomes enhanced?,outcome questionnaire-45 (oq-45),NA,NA,"Lambert, Michael J, Whipple, Jason L ... Hawkins, Eric J (2001)",
2001,2001,Treatment,English,English,N,Empirical,Multiple completions for other than therapy purposes,N,N,CORE-OM;,Paper and pencil;,NA,UK,NA,Men,"mccloskey, helena",10.1108/14636646200100011,<a href='https://www.emerald.com/insight/content/doi/10.1108/14636646200100011/full/html' target='_blank' >https://www.emerald.com/insight/content/doi/10.1108/14636646200100011/full/html</a>,"McCloskey, Helena (2001) Evaluation of the CORE outcome measure in a therapeutic forensic setting. The British Journal of Forensic Practice 3:3(2):22-28",2001_005,evaluation of the core outcome measure in a therapeutic forensic setting,NA,NA,NA,"McCloskey, Helena (2001)",
